"Estimated Resident Population by Age and Sex (1991+) (Annual-Dec)","","",""
"","","","Mean year ended"
" "," ","Female",1589000
" ","18 Years and Over","Male",1429200
" "," ","Female",1531400
" ","20 Years and Over","Male",1369400
" "," ","Female",1473500
" ","90-94 Years","Male",3480
" "," ","Female",9890
" ","60 Years and Over","Male",294700
" "," ","Female",353400
" ","65 Years and Over","Male",209700
" "," ","Female",265800
" ","75 Years and Over","Male",86200
" "," ","Female",132900
" ","80 Years and Over","Male",41700
" "," ","Female",77900
" ","85 Years and Over","Male",15600
" "," ","Female",36400
" ","90 Years and Over","Male",4170
" "," ","Female",12460
" ","95 Years and Over","Male",690
" "," ","Female",2570
" ","Median Age (Years)","Male",34.1
" "," ","Female",35.8
" ","Total All Ages","Male",1975600
" "," ","Female",2052000
2004,"0 Years","Male",29520
" "," ","Female",28180
" ","1 Years","Male",28550
" "," ","Female",27130
" ","2 Years","Male",28270
" "," ","Female",27240
" ","3 Years","Male",29270
" "," ","Female",28080
" ","4 Years","Male",29800
" "," ","Female",28430
" ","5 Years","Male",29240
" "," ","Female",27770
" ","6 Years","Male",29810
" "," ","Female",28360
" ","7 Years","Male",29700
" "," ","Female",28410
" ","8 Years","Male",30680
" "," ","Female",28800
" ","9 Years","Male",31150
" "," ","Female",29410
" ","10 Years","Male",31360
" "," ","Female",29590
" ","11 Years","Male",31980
" "," ","Female",30160
" ","12 Years","Male",32660
" "," ","Female",30620
" ","13 Years","Male",33030
" "," ","Female",31620
" ","14 Years","Male",32400
" "," ","Female",31280
" ","15 Years","Male",31460
" "," ","Female",30290
" ","16 Years","Male",31100
" "," ","Female",29970
" ","17 Years","Male",30290
" "," ","Female",29160
" ","18 Years","Male",29900
" "," ","Female",29240
" ","19 Years","Male",30040
" "," ","Female",29270
" ","20 Years","Male",30120
" "," ","Female",29470
" ","21 Years","Male",30210
" "," ","Female",29350
" ","22 Years","Male",29100
" "," ","Female",28390
" ","23 Years","Male",27860
" "," ","Female",27540
" ","24 Years","Male",26610
" "," ","Female",26730
" ","25 Years","Male",25430
" "," ","Female",26190
" ","26 Years","Male",24390
" "," ","Female",25370
" ","27 Years","Male",24400
" "," ","Female",25630
" ","28 Years","Male",24480
" "," ","Female",25870
" ","29 Years","Male",25320
" "," ","Female",27450
" ","30 Years","Male",26420
" "," ","Female",28930
" ","31 Years","Male",27650
" "," ","Female",30460
" ","32 Years","Male",29150
" "," ","Female",31850
" ","33 Years","Male",29400
" "," ","Female",32370
" ","34 Years","Male",29200
" "," ","Female",31980
" ","35 Years","Male",29370
" "," ","Female",32280
" ","36 Years","Male",29190
" "," ","Female",31860
" ","37 Years","Male",29290
" "," ","Female",31740
" ","38 Years","Male",29580
" "," ","Female",31550
" ","39 Years","Male",30100
" "," ","Female",32060
" ","40 Years","Male",31120
" "," ","Female",33100
" ","41 Years","Male",31740
" "," ","Female",34060
" ","42 Years","Male",31810
" "," ","Female",33750
" ","43 Years","Male",31230
" "," ","Female",33280
" ","44 Years","Male",30420
" "," ","Female",31880
" ","45 Years","Male",29770
" "," ","Female",31030
" ","46 Years","Male",28740
" "," ","Female",29930
" ","47 Years","Male",28430
" "," ","Female",29260
" ","48 Years","Male",27740
" "," ","Female",28590
" ","49 Years","Male",26640
" "," ","Female",27640
" ","50 Years","Male",25870
" "," ","Female",26640
" ","51 Years","Male",25150
" "," ","Female",25830
" ","52 Years","Male",24960
" "," ","Female",25240
" ","53 Years","Male",24490
" "," ","Female",24940
" ","54 Years","Male",24320
" "," ","Female",24810
" ","55 Years","Male",24130
" "," ","Female",24320
" ","56 Years","Male",24130
" "," ","Female",24490
" ","57 Years","Male",23870
" "," ","Female",24360
" ","58 Years","Male",20830
" "," ","Female",21230
" ","59 Years","Male",19330
" "," ","Female",19770
" ","60 Years","Male",18300
" "," ","Female",18500
" ","61 Years","Male",16880
" "," ","Female",17320
" ","62 Years","Male",18000
" "," ","Female",18590
" ","63 Years","Male",17850
" "," ","Female",18400
" ","64 Years","Male",16560
" "," ","Female",17050
" ","65 Years","Male",14990
" "," ","Female",15890
" ","66 Years","Male",14350
" "," ","Female",15010
" ","67 Years","Male",13540
" "," ","Female",14510
" ","68 Years","Male",12810
" "," ","Female",13770
" ","69 Years","Male",12450
" "," ","Female",12980
" ","70 Years","Male",11960
" "," ","Female",12760
" ","71 Years","Male",11510
" "," ","Female",12690
" ","72 Years","Male",11440
" "," ","Female",12450
" ","73 Years","Male",11480
" "," ","Female",12690
" ","74 Years","Male",10890
" "," ","Female",12320
" ","75 Years","Male",10280
" "," ","Female",11770
" ","76 Years","Male",9850
" "," ","Female",11410
" ","77 Years","Male",9150
" "," ","Female",11030
" ","78 Years","Male",8470
" "," ","Female",10700
" ","79 Years","Male",7800
" "," ","Female",10400
" ","80 Years","Male",6930
" "," ","Female",9720
" ","81 Years","Male",6110
" "," ","Female",9040
" ","82 Years","Male",5510
" "," ","Female",8710
" ","83 Years","Male",4890
" "," ","Female",8150
" ","84 Years","Male",4090
" "," ","Female",7350
" ","85 Years","Male",3100
" "," ","Female",5750
" ","86 Years","Male",2580
" "," ","Female",5260
" ","87 Years","Male",2380
" "," ","Female",4880
" ","88 Years","Male",1960
" "," ","Female",4270
" ","89 Years","Male",1590
" "," ","Female",3720
" ","90 Years","Male",1260
" "," ","Female",3030
" ","91 Years","Male",940
" "," ","Female",2560
" ","92 Years","Male",680
" "," ","Female",2050
" ","93 Years","Male",500
" "," ","Female",1460
" ","94 Years","Male",330
" "," ","Female",1140
" ","0-4 Years","Male",145410
" "," ","Female",139050
" ","5-9 Years","Male",150580
" "," ","Female",142750
" ","10-14 Years","Male",161430
" "," ","Female",153270
" ","15-19 Years","Male",152800
" "," ","Female",147930
" ","20-24 Years","Male",143900
" "," ","Female",141480
" ","25-29 Years","Male",124030
" "," ","Female",130520
" ","30-34 Years","Male",141810
" "," ","Female",155600
" ","35-39 Years","Male",147530
" "," ","Female",159490
" ","40-44 Years","Male",156330
" "," ","Female",166080
" ","45-49 Years","Male",141320
" "," ","Female",146440
" ","50-54 Years","Male",124790
" "," ","Female",127470
" ","55-59 Years","Male",112300
" "," ","Female",114170
" ","60-64 Years","Male",87600
" "," ","Female",89870
" ","65-69 Years","Male",68140
" "," ","Female",72160
" ","70-74 Years","Male",57270
" "," ","Female",62920
" ","75-79 Years","Male",45550
" "," ","Female",55310
" ","80-84 Years","Male",27530
" "," ","Female",42980
" ","85-89 Years","Male",11610
" "," ","Female",23890
" ","Under 15 Years","Male",457400
" "," ","Female",435100
" ","Under 16 Years","Male",488900
" "," ","Female",465400
" ","Under 18 Years","Male",550300
" "," ","Female",524500
" ","Under 20 Years","Male",610200
" "," ","Female",583000
" ","15-39 Years","Male",710100
" "," ","Female",735000
" ","15-49 Years","Male",1007700
" "," ","Female",1047500
" ","15-59 Years","Male",1244800
" "," ","Female",1289200
" ","40-64 Years","Male",622300
" "," ","Female",644000
" ","15-64 Years","Male",1332400
" "," ","Female",1379100
" ","15 Years and Over","Male",1547000
" "," ","Female",1649300
" ","16 Years and Over","Male",1515500
" "," ","Female",1619000
" ","18 Years and Over","Male",1454100
" "," ","Female",1559800
" ","20 Years and Over","Male",1394100
" "," ","Female",1501300
" ","90-94 Years","Male",3710
" "," ","Female",10240
" ","60 Years and Over","Male",302100
" "," ","Female",360100
" ","65 Years and Over","Male",214500
" "," ","Female",270200
" ","75 Years and Over","Male",89100
" "," ","Female",135100
" ","80 Years and Over","Male",43600
" "," ","Female",79800
" ","85 Years and Over","Male",16000
" "," ","Female",36800
" ","90 Years and Over","Male",4430
" "," ","Female",12950
" ","95 Years and Over","Male",720
" "," ","Female",2710
" ","Median Age (Years)","Male",34.4
" "," ","Female",36.0
" ","Total All Ages","Male",2004400
" "," ","Female",2084300
2005,"0 Years","Male",29660
" "," ","Female",28260
" ","1 Years","Male",29310
" "," ","Female",27960
" ","2 Years","Male",28670
" "," ","Female",27220
" ","3 Years","Male",28400
" "," ","Female",27330
" ","4 Years","Male",29470
" "," ","Female",28240
" ","5 Years","Male",29990
" "," ","Female",28610
" ","6 Years","Male",29380
" "," ","Female",27930
" ","7 Years","Male",29840
" "," ","Female",28440
" ","8 Years","Male",29810
" "," ","Female",28500
" ","9 Years","Male",30840
" "," ","Female",29050
" ","10 Years","Male",31310
" "," ","Female",29640
" ","11 Years","Male",31500
" "," ","Female",29800
" ","12 Years","Male",32120
" "," ","Female",30400
" ","13 Years","Male",32780
" "," ","Female",30780
" ","14 Years","Male",33150
" "," ","Female",31760
" ","15 Years","Male",32500
" "," ","Female",31490
" ","16 Years","Male",31660
" "," ","Female",30630
" ","17 Years","Male",31230
" "," ","Female",30200
" ","18 Years","Male",30270
" "," ","Female",29190
" ","19 Years","Male",29860
" "," ","Female",29410
" ","20 Years","Male",29900
" "," ","Female",29530
" ","21 Years","Male",29770
" "," ","Female",29480
" ","22 Years","Male",29680
" "," ","Female",29130
" ","23 Years","Male",28550
" "," ","Female",28110
" ","24 Years","Male",27340
" "," ","Female",27310
" ","25 Years","Male",26140
" "," ","Female",26690
" ","26 Years","Male",25120
" "," ","Female",26350
" ","27 Years","Male",24320
" "," ","Female",25740
" ","28 Years","Male",24570
" "," ","Female",26170
" ","29 Years","Male",24840
" "," ","Female",26540
" ","30 Years","Male",25770
" "," ","Female",28140
" ","31 Years","Male",26840
" "," ","Female",29520
" ","32 Years","Male",28000
" "," ","Female",30900
" ","33 Years","Male",29430
" "," ","Female",32250
" ","34 Years","Male",29720
" "," ","Female",32770
" ","35 Years","Male",29490
" "," ","Female",32390
" ","36 Years","Male",29680
" "," ","Female",32610
" ","37 Years","Male",29420
" "," ","Female",32150
" ","38 Years","Male",29450
" "," ","Female",31950
" ","39 Years","Male",29790
" "," ","Female",31770
" ","40 Years","Male",30290
" "," ","Female",32270
" ","41 Years","Male",31300
" "," ","Female",33280
" ","42 Years","Male",31900
" "," ","Female",34260
" ","43 Years","Male",31930
" "," ","Female",33900
" ","44 Years","Male",31350
" "," ","Female",33370
" ","45 Years","Male",30510
" "," ","Female",31970
" ","46 Years","Male",29840
" "," ","Female",31110
" ","47 Years","Male",28780
" "," ","Female",29980
" ","48 Years","Male",28460
" "," ","Female",29310
" ","49 Years","Male",27770
" "," ","Female",28620
" ","50 Years","Male",26630
" "," ","Female",27640
" ","51 Years","Male",25830
" "," ","Female",26660
" ","52 Years","Male",25140
" "," ","Female",25790
" ","53 Years","Male",24890
" "," ","Female",25190
" ","54 Years","Male",24380
" "," ","Female",24910
" ","55 Years","Male",24230
" "," ","Female",24790
" ","56 Years","Male",24040
" "," ","Female",24290
" ","57 Years","Male",24020
" "," ","Female",24490
" ","58 Years","Male",23780
" "," ","Female",24340
" ","59 Years","Male",20730
" "," ","Female",21210
" ","60 Years","Male",19240
" "," ","Female",19740
" ","61 Years","Male",18220
" "," ","Female",18460
" ","62 Years","Male",16770
" "," ","Female",17270
" ","63 Years","Male",17870
" "," ","Female",18540
" ","64 Years","Male",17730
" "," ","Female",18340
" ","65 Years","Male",16400
" "," ","Female",16990
" ","66 Years","Male",14820
" "," ","Female",15800
" ","67 Years","Male",14180
" "," ","Female",14930
" ","68 Years","Male",13350
" "," ","Female",14380
" ","69 Years","Male",12630
" "," ","Female",13610
" ","70 Years","Male",12200
" "," ","Female",12840
" ","71 Years","Male",11690
" "," ","Female",12600
" ","72 Years","Male",11200
" "," ","Female",12490
" ","73 Years","Male",11110
" "," ","Female",12230
" ","74 Years","Male",11100
" "," ","Female",12420
" ","75 Years","Male",10500
" "," ","Female",12040
" ","76 Years","Male",9910
" "," ","Female",11470
" ","77 Years","Male",9420
" "," ","Female",11070
" ","78 Years","Male",8710
" "," ","Female",10690
" ","79 Years","Male",7990
" "," ","Female",10310
" ","80 Years","Male",7310
" "," ","Female",9960
" ","81 Years","Male",6440
" "," ","Female",9290
" ","82 Years","Male",5630
" "," ","Female",8540
" ","83 Years","Male",5030
" "," ","Female",8190
" ","84 Years","Male",4400
" "," ","Female",7600
" ","85 Years","Male",3660
" "," ","Female",6770
" ","86 Years","Male",2710
" "," ","Female",5220
" ","87 Years","Male",2250
" "," ","Female",4750
" ","88 Years","Male",2020
" "," ","Female",4320
" ","89 Years","Male",1660
" "," ","Female",3730
" ","90 Years","Male",1290
" "," ","Female",3190
" ","91 Years","Male",990
" "," ","Female",2530
" ","92 Years","Male",750
" "," ","Female",2120
" ","93 Years","Male",520
" "," ","Female",1660
" ","94 Years","Male",360
" "," ","Female",1140
" ","0-4 Years","Male",145500
" "," ","Female",139010
" ","5-9 Years","Male",149870
" "," ","Female",142540
" ","10-14 Years","Male",160850
" "," ","Female",152380
" ","15-19 Years","Male",155530
" "," ","Female",150930
" ","20-24 Years","Male",145250
" "," ","Female",143550
" ","25-29 Years","Male",124980
" "," ","Female",131490
" ","30-34 Years","Male",139750
" "," ","Female",153580
" ","35-39 Years","Male",147830
" "," ","Female",160870
" ","40-44 Years","Male",156770
" "," ","Female",167090
" ","45-49 Years","Male",145360
" "," ","Female",150980
" ","50-54 Years","Male",126860
" "," ","Female",130200
" ","55-59 Years","Male",116790
" "," ","Female",119120
" ","60-64 Years","Male",89830
" "," ","Female",92360
" ","65-69 Years","Male",71380
" "," ","Female",75710
" ","70-74 Years","Male",57300
" "," ","Female",62580
" ","75-79 Years","Male",46530
" "," ","Female",55570
" ","80-84 Years","Male",28810
" "," ","Female",43580
" ","85-89 Years","Male",12290
" "," ","Female",24790
" ","Under 15 Years","Male",456200
" "," ","Female",433900
" ","Under 16 Years","Male",488700
" "," ","Female",465400
" ","Under 18 Years","Male",551600
" "," ","Female",526300
" ","Under 20 Years","Male",611700
" "," ","Female",584900
" ","15-39 Years","Male",713300
" "," ","Female",740400
" ","15-49 Years","Male",1015500
" "," ","Female",1058500
" ","15-59 Years","Male",1259100
" "," ","Female",1307800
" ","40-64 Years","Male",635600
" "," ","Female",659700
" ","15-64 Years","Male",1348900
" "," ","Female",1400200
" ","15 Years and Over","Male",1570000
" "," ","Female",1675900
" ","16 Years and Over","Male",1537500
" "," ","Female",1644400
" ","18 Years and Over","Male",1474600
" "," ","Female",1583600
" ","20 Years and Over","Male",1414400
" "," ","Female",1525000
" ","90-94 Years","Male",3920
" "," ","Female",10630
" ","60 Years and Over","Male",310800
" "," ","Female",368100
" ","65 Years and Over","Male",221000
" "," ","Female",275700
" ","75 Years and Over","Male",92300
" "," ","Female",137400
" ","80 Years and Over","Male",45800
" "," ","Female",81900
" ","85 Years and Over","Male",17000
" "," ","Female",38300
" ","90 Years and Over","Male",4690
" "," ","Female",13500
" ","95 Years and Over","Male",770
" "," ","Female",2860
